,eventID,account_admin,account_dcadmin,account_hacked,account_user101,account_user103,process_c:\windows\system32\hostname.exe,process_c:\windows\system32\ipconfig.exe,process_c:\windows\system32\netsh.exe,process_c:\windows\system32\netstat.exe,process_c:\windows\system32\ping.exe,process_c:\windows\system32\services.exe,process_c:\windows\system32\wbem\wmic.exe,process_c:\windows\system32\wbem\wmiprvse.exe,objectname_psexesvc,target_outlier,target_test,target_train
9358,4674,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
9360,4674,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
9361,4674,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
9424,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
9429,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
9443,4674,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
9444,4674,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
9446,4674,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
9447,4674,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
9449,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9450,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9452,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9453,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9456,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9457,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9458,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9459,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9460,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9461,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9462,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9463,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9464,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9465,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9466,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9467,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9468,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9469,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9470,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9471,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9472,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
